x_A,y_A,charge_total_Al16,charge_total_undoped,magnetization_Al16,magnetization_undoped,spin_down_Al16,spin_down_undoped,spin_up_Al16,spin_up_undoped
1.12542,-1.30776,0.00015354455,0.00017013209,-0.00033616801,-0.00025855296,0.00024485629,0.00021434252,-9.1311733e-05,-4.4210436e-05
1.19152,-1.30776,9.5634939e-05,0.00015706166,-0.00031915947,-0.00026716257,0.00020739721,0.00021211212,-0.00011176227,-5.5050456e-05
1.25761,-1.30776,2.1523738e-05,0.00013203202,-0.00029062509,-0.00026890554,0.00015607441,0.00020046878,-0.00013455068,-6.8436762e-05
1.32371,-1.30776,-6.3548097e-05,0.00010036131,-0.0002547318,-0.00026799683,9.5591851e-05,0.00018417907,-0.00015913995,-8.3817766e-05
1.38981,-1.30776,-0.00015341253,6.1305211e-05,-0.00021143601,-0.00026065687,2.9011739e-05,0.00016098104,-0.00018242426,-9.9675832e-05
1.45591,-1.30776,-0.00023898321,1.6276756e-05,-0.00016278209,-0.00024331309,-3.8100559e-05,0.00012979492,-0.00020088264,-0.00011351817
1.52200,-1.30776,-0.00032508717,-3.0438503e-05,-0.00011485066,-0.0002241835,-0.00010511826,9.68725e-05,-0.0002199689,-0.00012731101
1.58810,-1.30776,-0.00040492945,-7.7863784e-05,-7.2742092e-05,-0.00020049039,-0.00016609368,6.1313302e-05,-0.00023883577,-0.00013917709
1.65420,-1.30776,-0.00046397047,-0.00011772786,-3.8593284e-05,-0.00016388351,-0.0002126886,2.3077824e-05,-0.00025128189,-0.00014080569
1.72029,-1.30776,-0.0005209524,-0.00015347415,-9.5119158e-06,-0.00012482307,-0.00025572025,-1.4325538e-05,-0.00026523214,-0.00013914861
1.78639,-1.30776,-0.00057172647,-0.0001893459,1.0411323e-05,-7.9233199e-05,-0.00029106889,-5.5056349e-05,-0.00028065758,-0.00013428956
1.85249,-1.30776,-0.00060697098,-0.00022668738,2.2290762e-05,-2.2933526e-05,-0.00031463086,-0.00010187693,-0.00029234012,-0.00012481045
1.91859,-1.30776,-0.00063261983,-0.00026102905,3.1265005e-05,3.6074769e-05,-0.00033194243,-0.00014855192,-0.00030067741,-0.00011247714
1.98468,-1.30776,-0.00064846926,-0.00029723591,3.1644468e-05,9.6134878e-05,-0.00034005687,-0.00019668539,-0.00030841239,-0.00010055052
2.05078,-1.30776,-0.00064977451,-0.00033720897,2.3885419e-05,0.00015497769,-0.00033682995,-0.00024609332,-0.00031294455,-9.1115638e-05
2.11688,-1.30776,-0.0006328919,-0.00038964965,1.6300623e-05,0.00021637105,-0.00032459627,-0.00030301034,-0.00030829562,-8.6639302e-05
2.18297,-1.30776,-0.00060301286,-0.00043373875,4.2657493e-06,0.00025764306,-0.0003036393,-0.0003456909,-0.00029937355,-8.8047847e-05
2.24907,-1.30776,-0.00056178059,-0.00044814468,-1.0089772e-05,0.00024733366,-0.00027584541,-0.00034773917,-0.00028593518,-0.00010040551
2.31517,-1.30776,-0.00051349797,-0.00047502629,-2.1572028e-05,0.00023012601,-0.00024596296,-0.00035257614,-0.00026753501,-0.00012245015
2.38127,-1.30776,-0.00046116876,-0.00045434129,-3.1165626e-05,0.00015754036,-0.00021500156,-0.00030594083,-0.00024616718,-0.00014840046
2.44736,-1.30776,-0.00040876807,-0.00032309577,-3.790019e-05,-2.1975018e-05,-0.00018543394,-0.00015056037,-0.00022333414,-0.00017253539
2.51346,-1.30776,-0.00035938836,-0.0001387643,-4.1134157e-05,-0.00023307154,-0.0001591271,4.7153619e-05,-0.00020026126,-0.00018591792
2.57956,-1.30776,-0.00030940989,8.2499886e-05,-4.0975614e-05,-0.00040651805,-0.00013421715,0.00024450896,-0.00017519275,-0.00016200909
2.64565,-1.30776,-0.00025786832,0.00037656366,-3.7609258e-05,-0.00058336713,-0.00011012953,0.00047996541,-0.00014773879,-0.00010340173
2.71175,-1.30776,-0.00020881706,0.0007595421,-3.1835072e-05,-0.00079751114,-8.8490997e-05,0.00077852665,-0.00012032606,-1.8984516e-05
2.77785,-1.30776,-0.00015738548,0.0010327889,-2.7523118e-05,-0.0008368842,-6.4931184e-05,0.00093483657,-9.2454298e-05,9.7952347e-05
2.84394,-1.30776,-9.8804259e-05,0.0011923678,-2.4378522e-05,-0.00073357427,-3.7212871e-05,0.00096297101,-6.1591389e-05,0.00022939674
2.91004,-1.30776,-4.1899868e-05,0.001383292,-2.1152571e-05,-0.00065586256,-1.0373648e-05,0.0010195773,-3.1526219e-05,0.00036371473
2.97614,-1.30776,1.0368387e-05,0.0014111002,-1.9201721e-05,-0.00054737611,1.4785054e-05,0.00097923819,-4.4166673e-06,0.00043186202
3.04224,-1.30776,5.7785412e-05,0.0012358073,-1.847678e-05,-0.00039992493,3.8131097e-05,0.00081786612,1.9654315e-05,0.00041794119
3.10833,-1.30776,0.00010130779,0.0010788626,-1.7847731e-05,-0.00031258486,5.957776e-05,0.00069572369,4.1730025e-05,0.00038313886
3.17443,-1.30776,0.00013967213,0.00093135657,-1.7832812e-05,-0.00028790059,7.8752477e-05,0.00060962857,6.0919661e-05,0.000321728
3.24053,-1.30776,0.00016666642,0.00075917906,-2.0270745e-05,-0.00030264843,9.3468581e-05,0.00053091376,7.3197836e-05,0.00022826531
3.30662,-1.30776,0.00018983001,0.00063131819,-2.3559518e-05,-0.00035178807,0.00010669477,0.0004915531,8.3135244e-05,0.00013976506
3.37272,-1.30776,0.00020600314,0.00057042565,-2.7585857e-05,-0.00042417538,0.0001167945,0.00049730053,8.9208639e-05,7.3125135e-05
